"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc" "depth_max_round" "season" "station" "total_abundance_m3" "Actinopterygii" "Amphipoda" "Annelida" "Appendicularia" "Bryozoa" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria_Ctenophora" "Copepoda" "Euphausiacea" "Gastropoda" "Leptocardii" "Ostracoda" "Other" "Thaliacea"
"1" "2019_pos536_bongo10l_lrg" 2019-08-25 "22:49" 33.1318333333333 -38.9811666666667 0 10 118.98873 10 "Summer_2019" "D" 7.23597940746153 0.453824492454033 0.126062359015009 0.142870673550344 0.0672332581413383 0 0.0252124718030018 1.05892381572608 0.226912246227017 1.26902774741776 2.10944347418449 0.840415726766728 0.0336166290706691 0.00840415726766728 0.521057750595372 0 0.352974605242026
"2" "2019_pos536_bongo11l_lrg" 2019-08-25 "23:47" 33.1363333333333 -38.9791666666667 0 100 157.457655 100 "Summer_2019" "D" 6.19849190564917 0.133369190592861 0.063509138377553 0.0825618798908189 0.0190527415132659 0 0.0063509138377553 1.1368135769582 0.158772845943883 0.292142036536744 2.9404731068807 0.622389556100019 0.0508073107020424 0 0.336598433401031 0 0.355651174914297
"3" "2019_pos536_bongo12l_lrg" 2019-08-26 "00:59" 33.1387 -38.979 0 300 240.287715 300 "Summer_2019" "D" 3.92446197259814 0.0915569071019715 0.0832335519108832 0.0832335519108832 0.00416167759554416 0 0 0.898922360637538 0.104041939888604 0.24970065573265 1.62305426226222 0.282994076497003 0.00832335519108832 0 0.145658715844046 0.0166467103821766 0.332934207643533
"4" "2019_pos536_bongo13r_lrg" 2019-08-28 "18:29" 34 -38 0 10 262.61816 10 "Summer_2019" "E" 5.19004474024188 0.437898125552323 0.068540576173407 0.0266546685118805 0.0342702880867035 0 0 0.978607115364756 0.0038078097874115 0.50643870172573 2.92820572651945 0.156120201283872 0 0 0.0038078097874115 0.015231239149646 0.030462478299292
"5" "2019_pos536_bongo14l_lrg" 2019-08-28 "19:20" 34 -38 0 100 289.163385 100 "Summer_2019" "E" 7.79490114213458 0.134871847623447 0.0553320400506447 0.0276660200253224 0.00691650500633059 0 0.0138330100126612 3.09167773782977 0.380407775348182 0.511821370468464 2.94643113269683 0.328533987800703 0.0242077675221571 0.0034582525031653 0.0726233025664712 0.0276660200253224 0.169454372655099
"6" "2019_pos536_bongo15l_lrg" 2019-08-28 "20:31" 34 -38 0 300 244.03923 300 "Summer_2019" "E" 3.43797183756071 0.0245862109956666 0.0204885091630555 0.0204885091630555 0.00409770183261109 0.159810371471833 0.00409770183261109 0.249959811789277 0.0737586329869997 0.090149440317444 1.93001756315982 0.569580554732942 0.0163908073304444 0 0.0737586329869997 0.00409770183261109 0.196689687965332
"7" "2019_pos536_bongo16r_lrg" 2019-08-30 "02:34" 33 -37 0 10 262.61816 10 "Summer_2019" "F" 2.8482417209838 0.030462478299292 0.038078097874115 0.022846858724469 0.030462478299292 0.015231239149646 0.0038078097874115 0.217045157882456 0.00761561957482301 0.327471641717389 1.64497382816177 0.399820027678208 0.0038078097874115 0 0.0990030544726991 0 0.00761561957482301
"8" "2019_pos536_bongo17l_lrg" 2019-08-30 "03:32" 33 -37 0 100 209.682135 100 "Summer_2019" "F" 4.2159051842924 0.0572294821397159 0.100151593744503 0.019076494046572 0.0524603586280729 0 0 0.305223904745151 0.0763059761862879 0.14307370534929 2.60871056086872 0.672446415141662 0.00476912351164299 0 0.147842828860933 0.00476912351164299 0.023845617558215
"9" "2019_pos536_bongo18r_lrg" 2019-08-30 "04:48" 33.1516666666667 -37 0 300 167.10138 300 "Summer_2019" "F" 1.83122365596263 0.0119687820651152 0.0239375641302304 0.0179531730976728 0.0239375641302304 0 0 0.293235160595322 0.0658283013581336 0.113703429618594 0.87372109075341 0.257328814399977 0.0059843910325576 0 0.101734647553479 0 0.0418907372279032
"10" "2019_pos536_bongo19r_lrg" 2019-08-30 "21:21" 34 -37 0 10 65.5455375 10 "Summer_2019" "G" 4.43966151013713 0.472953631664093 0.320387944030515 0.244105100213725 0.0152565687633578 0 0.0152565687633578 1.03744667590833 0.0305131375267157 1.35783461993885 0.396670787847304 0.35090108155723 0.0152565687633578 0 0.152565687633578 0 0.0305131375267157
