"sample_id" "lat" "lon" "total_abundance_m3" "depth_max_round" "season" "station" "Actinopterygii_fraction" "Amphipoda_fraction" "Annelida_fraction" "Chaetognatha_fraction" "Cirripedia_fraction" "Cnidaria_Ctenophora_fraction" "Copepoda_fraction" "Euphausiacea_fraction" "Ostracoda_fraction" "Thaliacea_fraction" "other_fraction"
"1" "2019_pos536_bongo10l_lrg" 33.1318333333333 -38.9811666666667 7.23597940746153 10 "Summer_2019" "D" 0.0627177700348432 0.0174216027874564 0.0197444831591173 0.146341463414634 0.0313588850174216 0.175377468060395 0.291521486643438 0.116144018583043 0.0720092915214866 0.0487804878048781 0.018583042973287
"2" "2019_pos536_bongo11l_lrg" 33.1363333333333 -38.9791666666667 6.19849190564917 100 "Summer_2019" "D" 0.021516393442623 0.0102459016393443 0.0133196721311475 0.183401639344262 0.0256147540983607 0.0471311475409836 0.474385245901639 0.100409836065574 0.0543032786885246 0.0573770491803279 0.0122950819672132
"3" "2019_pos536_bongo12l_lrg" 33.1387 -38.979 3.92446197259814 300 "Summer_2019" "D" 0.0233297985153765 0.0212089077412513 0.0212089077412513 0.229056203605514 0.0265111346765642 0.063626723223754 0.413573700954401 0.0721102863202545 0.0371155885471898 0.0848356309650053 0.00742311770943797
"4" "2019_pos536_bongo13r_lrg" 34 -38 5.19004474024188 10 "Summer_2019" "E" 0.0843727072633896 0.0132061628760088 0.00513573000733676 0.188554658840792 0.000733675715333822 0.0975788701393984 0.564196625091709 0.0300807043286867 0.000733675715333822 0.00586940572267058 0.00953778429933977
"5" "2019_pos536_bongo14l_lrg" 34 -38 7.79490114213458 100 "Summer_2019" "E" 0.0173025732031943 0.00709849157054126 0.00354924578527063 0.396628216503993 0.0488021295474712 0.0656610470275066 0.377994676131322 0.0421472937000887 0.0093167701863354 0.0217391304347826 0.00976042590949446
"6" "2019_pos536_bongo15l_lrg" 34 -38 3.43797183756071 300 "Summer_2019" "E" 0.00715137067938022 0.00595947556615018 0.00595947556615018 0.0727056019070322 0.0214541120381406 0.0262216924910608 0.561382598331347 0.165673420738975 0.0214541120381406 0.0572109654350417 0.0548271752085816
"7" "2019_pos536_bongo16r_lrg" 33 -37 2.8482417209838 10 "Summer_2019" "F" 0.0106951871657754 0.0133689839572193 0.00802139037433155 0.0762032085561497 0.00267379679144385 0.114973262032086 0.577540106951872 0.140374331550802 0.0347593582887701 0.00267379679144385 0.0187165775401068
"8" "2019_pos536_bongo17l_lrg" 33 -37 4.2159051842924 100 "Summer_2019" "F" 0.0135746606334842 0.0237556561085973 0.00452488687782805 0.0723981900452489 0.0180995475113122 0.0339366515837104 0.618778280542986 0.159502262443439 0.0350678733031674 0.00565610859728507 0.0147058823529412
"9" "2019_pos536_bongo18r_lrg" 33.1516666666667 -37 1.83122365596263 300 "Summer_2019" "F" 0.0065359477124183 0.0130718954248366 0.00980392156862745 0.160130718954248 0.0359477124183007 0.0620915032679739 0.477124183006536 0.140522875816993 0.0555555555555556 0.0228758169934641 0.0163398692810459
"10" "2019_pos536_bongo19r_lrg" 34 -37 4.43966151013713 10 "Summer_2019" "G" 0.106529209621993 0.0721649484536083 0.0549828178694158 0.233676975945017 0.00687285223367698 0.305841924398625 0.0893470790378007 0.0790378006872852 0.0343642611683849 0.00687285223367698 0.0103092783505155
